group,club_pair,pair_count,purity
Other (Men's),juventus ↔ liverpool,252,0.26587301587301587
Other (Men's),liverpool ↔ west ham,251,0.4262948207171315
Other (Men's),atletico madrid ↔ real madrid,251,0.3147410358565737
Other (Men's),aston villa ↔ everton,249,0.4939759036144578
Other (Men's),burnley ↔ manchester united,249,0.41767068273092367
Other (Men's),barcelona ↔ bayern,248,0.2661290322580645
Other (Men's),real madrid ↔ reds,245,0.31020408163265306
Other (Men's),arsenal ↔ newcastle,245,0.43673469387755104
Other (Men's),arsenal ↔ real madrid,244,0.26639344262295084
Other (Men's),brentford ↔ manchester city,244,0.4344262295081967
Other (Men's),liverpool ↔ nottingham forest,240,0.425
Other (Men's),atletico madrid ↔ barcelona,239,0.2594142259414226
Other (Men's),leicester ↔ manchester city,239,0.42677824267782427
Other (Men's),borussia dortmund ↔ liverpool,239,0.24686192468619247
Other (Men's),barcelona ↔ tottenham,239,0.2510460251046025
Other (Men's),aston villa ↔ newcastle,238,0.4495798319327731
Other (Men's),man utd ↔ manchester united,238,0.40336134453781514
Other (Men's),bayern ↔ liverpool,237,0.25738396624472576
Other (Men's),crystal palace ↔ everton,236,0.4745762711864407
Other (Men's),manchester united ↔ spurs,235,0.37872340425531914
Other (Men's),manchester city ↔ psg,233,0.27467811158798283
Other (Men's),fulham ↔ manchester city,233,0.43776824034334766
Other (Men's),arsenal ↔ aston villa,232,0.4870689655172414
Other (Men's),liverpool ↔ spurs,230,0.4391304347826087
Other (Men's),juventus ↔ paris saint-germain,230,0.21304347826086956
Other (Men's),barcelona ↔ sevilla,226,0.2610619469026549
Other (Men's),chelsea ↔ west ham,226,0.42035398230088494
Other (Men's),manchester united ↔ west ham,225,0.4
Other (Men's),bournemouth ↔ liverpool,224,0.48660714285714285
Other (Men's),bayern munich ↔ juventus,224,0.24553571428571427
Other (Men's),chelsea ↔ fulham,224,0.4375
Other (Men's),borussia dortmund ↔ real madrid,224,0.20982142857142858
Other (Men's),atletico madrid ↔ manchester united,223,0.34977578475336324
Other (Men's),manchester city ↔ spurs,222,0.44144144144144143
Other (Men's),aston villa ↔ tottenham,221,0.45701357466063347
Other (Men's),chelsea ↔ psg,220,0.2818181818181818
Other (Men's),brentford ↔ tottenham,219,0.4246575342465753
Other (Men's),fulham ↔ manchester united,219,0.4429223744292237
Other (Men's),brighton ↔ everton,219,0.45662100456621
Other (Men's),arsenal ↔ spurs,218,0.43577981651376146
Other (Men's),liverpool ↔ psg,217,0.2534562211981567
Other (Men's),barcelona ↔ napoli,216,0.20833333333333334
Other (Men's),arsenal ↔ brighton,216,0.44907407407407407
Other (Men's),manchester united ↔ psg,215,0.2651162790697674
Other (Men's),aston villa ↔ brighton,213,0.460093896713615
Other (Men's),atletico madrid ↔ manchester city,212,0.3490566037735849
Other (Men's),leicester ↔ manchester united,211,0.4265402843601896
Other (Men's),manchester city ↔ west ham,211,0.4549763033175355
Other (Men's),arsenal ↔ burnley,208,0.4567307692307692
Other (Men's),burnley ↔ everton,207,0.45410628019323673
Other (Men's),liverpool ↔ newcastle united,206,0.4077669902912621
Other (Men's),arsenal ↔ brentford,205,0.4585365853658537
Other (Men's),brentford ↔ everton,205,0.43902439024390244
Other (Men's),real madrid ↔ villarreal,204,0.3235294117647059
Other (Men's),inter ↔ manchester united,203,0.21674876847290642
Other (Men's),barca ↔ manchester city,203,0.2315270935960591
Other (Men's),brighton ↔ newcastle,202,0.4752475247524752
Other (Men's),brentford ↔ brighton,200,0.505
Other (Men's),manchester city ↔ nottingham forest,200,0.465
Other (Men's),crystal palace ↔ tottenham,199,0.4321608040201005
Other (Men's),tottenham ↔ west ham,199,0.39195979899497485
Other (Men's),benfica ↔ liverpool,199,0.2914572864321608
Other (Men's),leicester ↔ tottenham,199,0.37185929648241206
Other (Men's),borussia dortmund ↔ chelsea,196,0.25
Other (Men's),chelsea ↔ man city,196,0.3979591836734694
Other (Men's),barcelona ↔ inter,195,0.24102564102564103
Other (Men's),aston villa ↔ crystal palace,195,0.49743589743589745
Other (Men's),bayern ↔ real madrid,195,0.2564102564102564
Other (Men's),borussia dortmund ↔ manchester united,194,0.27835051546391754
