file,source,gold_count,spacy_person_count,tp,fn,fp,model
Games/BBC/13_SCO_SUI_second_half.json,Games,45,53,35,10,18,en_core_web_sm
Games/BBC/14_GER_HUN_first_half.json,Games,199,196,149,50,47,en_core_web_sm
Games/BBC/14_GER_HUN_second_half.json,Games,181,149,114,67,35,en_core_web_sm
Games/BBC/17_DEN_ENG_first_half.json,Games,235,239,204,31,35,en_core_web_sm
Games/BBC/17_DEN_ENG_second_half.json,Games,215,247,196,19,51,en_core_web_sm
Games/BBC/20_NED_FRA_first_half.json,Games,209,172,143,66,29,en_core_web_sm
Games/BBC/20_NED_FRA_second_half.json,Games,184,144,110,74,34,en_core_web_sm
Games/BBC/21_SVK_UKR_first_half.json,Games,81,135,70,11,65,en_core_web_sm
Games/BBC/21_SVK_UKR_second_half.json,Games,87,143,75,12,68,en_core_web_sm
Games/BBC/24_GEO_CZE_first_half.json,Games,80,109,63,17,46,en_core_web_sm
Games/BBC/24_GEO_CZE_second_half.json,Games,69,108,60,9,48,en_core_web_sm
Games/BBC/25_SUI_GER_first_half.json,Games,129,123,84,45,39,en_core_web_sm
Games/BBC/25_SUI_GER_second_half.json,Games,120,116,75,45,41,en_core_web_sm
Games/BBC/26_SCO_HUN_first_half.json,Games,36,35,30,6,5,en_core_web_sm
Games/BBC/26_SCO_HUN_second_half.json,Games,310,329,277,33,52,en_core_web_sm
Games/BBC/27_ALB_ESP_first_half.json,Games,142,148,101,41,47,en_core_web_sm
Games/BBC/27_ALB_ESP_second_half.json,Games,139,184,109,30,75,en_core_web_sm
Games/BBC/28_CRO_ITA_first_half.json,Games,151,168,125,26,43,en_core_web_sm
Games/BBC/28_CRO_ITA_second_half.json,Games,160,170,124,36,46,en_core_web_sm
Games/BBC/29_ENG_SVN_first_half.json,Games,227,231,201,26,30,en_core_web_sm
Games/BBC/29_ENG_SVN_second_half.json,Games,275,279,244,31,35,en_core_web_sm
Games/BBC/31_NED_AUT_first_half.json,Games,135,150,90,45,60,en_core_web_sm
Games/BBC/31_NED_AUT_second_half.json,Games,125,165,95,30,70,en_core_web_sm
Games/BBC/32_FRA_POL_first_half.json,Games,147,140,83,64,57,en_core_web_sm
Games/BBC/32_FRA_POL_second_half.json,Games,165,156,103,62,53,en_core_web_sm
Games/BBC/33_SVK_ROU_first_half.json,Games,98,111,67,31,44,en_core_web_sm
Games/BBC/33_SVK_ROU_second_half.json,Games,89,124,60,29,64,en_core_web_sm
Games/BBC/34_UKR_BEL_first_half.json,Games,207,227,169,38,58,en_core_web_sm
Games/BBC/34_UKR_BEL_second_half.json,Games,138,136,106,32,30,en_core_web_sm
Games/BBC/36_CZE_TUR_first_half.json,Games,64,88,41,23,47,en_core_web_sm
Games/BBC/36_CZE_TUR_second_half.json,Games,101,117,69,32,48,en_core_web_sm
Games/BBC/37_GER_DEN_first_half.json,Games,165,191,140,25,51,en_core_web_sm
Games/BBC/37_GER_DEN_second_half.json,Games,59,61,48,11,13,en_core_web_sm
Games/BBC/38_SUI_ITA_first_half.json,Games,133,116,79,54,37,en_core_web_sm
Games/BBC/38_SUI_ITA_second_half.json,Games,116,99,69,47,30,en_core_web_sm
Games/BBC/40_ENG_SVK_first_half.json,Games,234,257,221,13,36,en_core_web_sm
Games/BBC/40_ENG_SVK_second_half.json,Games,402,430,374,28,56,en_core_web_sm
Games/BBC/41_POR_SVN_first_half.json,Games,166,183,133,33,50,en_core_web_sm
Games/BBC/41_POR_SVN_second_half.json,Games,29,31,22,7,9,en_core_web_sm
Games/BBC/42_FRA_BEL_first_half.json,Games,205,179,140,65,39,en_core_web_sm
Games/BBC/42_FRA_BEL_second_half.json,Games,243,217,168,75,49,en_core_web_sm
Games/BBC/43_ROU_NED_first_half.json,Games,217,162,115,102,47,en_core_web_sm
Games/BBC/43_ROU_NED_second_half.json,Games,188,154,101,87,53,en_core_web_sm
Games/BBC/44_AUT_TUR_first_half.json,Games,88,109,69,19,40,en_core_web_sm
Games/BBC/44_AUT_TUR_second_half.json,Games,88,117,67,21,50,en_core_web_sm
Games/BBC/45_ESP_GER_first_half.json,Games,113,135,92,21,43,en_core_web_sm
Games/BBC/45_ESP_GER_second_half.json,Games,197,210,138,59,72,en_core_web_sm
Games/BBC/46_POR_FRA_first_half.json,Games,227,203,156,71,47,en_core_web_sm
Games/BBC/46_POR_FRA_second_half.json,Games,416,331,243,173,88,en_core_web_sm
